Date added,Partner,Acc Number,Profile Rating Page,Overall Rating,Disagree 1-5 Agree,What should the rating be,Notes
15/08/2023,Danske,4166309,https://minerva.sportingsolutions.com/ratings/danskespil/4166309,82,4,90,I'd have this acc around 90 if betting on Tennis or Football. Worth noting that 99% bets InPlay where price move metrics not fully operational.
15/08/2023,Danske,1565061,https://minerva.sportingsolutions.com/ratings/danskespil/1565061,77,5,77,"82 football - 10% (15% from 400 bets footy) overall from 1000 singles, Football strike rate outperforming exp strike rate. Breakeven on cycling where rated 65, would have this closer to 50, potentially staking having an impact there and inflating the rating."
15/08/2023,Danske,926880,https://minerva.sportingsolutions.com/ratings/danskespil/926880,13,5,13,losing 49% from nearly 4000 bets/95k stake. Mostly IP non-sgls.
15/08/2023,OLG,BEDE25227184,https://minerva.sportingsolutions.com/ratings/olg/BEDE25227184,16,5,16,bets soccer only and is a mix of singles/accas/IP.  19% down and all prices took are fine
16/08/2023,OLG,BEDE24532052,https://minerva.sportingsolutions.com/ratings/olg/BEDE24532052,70,4,75,"Should be slightly higher but close enough. Potentially the price move/beat factor not accurate, trader notes suggest the account is on Pinnacle movers."
16/08/2023,OLG,BEDE25225784,https://minerva.sportingsolutions.com/ratings/olg/BEDE25225784,76,5,76,Up 14% from 171 bets so far - confidence 72. SR 4% up on exp SR.
16/08/2023,OLG,BEDE25019384,https://minerva.sportingsolutions.com/ratings/olg/BEDE25019384,55,4,60,"basketball rating 83, feel overall rating should be ~60 as confidence increases. Still a small sample but early indication strong on basketball."
16/08/2023,OLG,BEDE24890114,https://minerva.sportingsolutions.com/ratings/olg/BEDE24890114,17,5,17,Losing 35% with poor price move/beat factor scores
16/08/2023,OLG,BEDE24702518,https://minerva.sportingsolutions.com/ratings/olg/BEDE24702518,76,5,76,"11% up overall  - prematch singles only, positive on price move metrics too."
16/08/2023,Danske,4296561,https://minerva.sportingsolutions.com/ratings/danskespil/4296561,73,4,78,All movers and great marker. Limited in-play bets and only 1 multiple. ROI consistent over longer range. Strongly unprofitible long term. Higher rating on sport with most bets/moves
